Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20250,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
20254,388,FALSE,0,8,1,0,0,0,0,0,0,2,
20257,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
20261,373,FALSE,0,8,C5,C5,7D,38,C,B6,80,17,
20264,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
20269,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20273,373,FALSE,0,8,C5,C5,7D,38,C,B6,80,17,
20277,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
20280,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20284,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
20287,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20291,373,FALSE,0,8,C5,C5,7D,42,C,B6,80,17,
20294,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
20298,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20302,373,FALSE,0,8,C5,C5,7D,42,C,B6,80,17,
20306,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20310,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20313,185,FALSE,0,8,8,0,15,0,0,0,29,30,
20317,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20320,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20324,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
20327,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
20331,373,FALSE,0,8,C5,C5,7D,49,C,B6,80,17,
20335,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20338,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20342,398,FALSE,0,8,1,28,19,4D,52,20,0,0,
20345,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20348,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
20353,373,FALSE,0,8,C5,C5,7D,49,C,B6,80,17,
20357,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
20361,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
20364,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20368,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20372,373,FALSE,0,8,C5,C5,7D,4E,C,B6,80,17,
20375,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20378,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20382,188,FALSE,0,8,3,50,A2,4D,0,0,0,0,
20386,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
20389,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20392,373,FALSE,0,8,C5,C5,7D,4E,C,B6,80,17,
20397,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
20401,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20404,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20408,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20412,373,FALSE,0,8,C5,C5,7D,55,C,B6,80,17,
20415,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
20419,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20422,373,FALSE,0,8,C5,C5,7D,55,C,B6,80,17,
20426,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20429,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
20433,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
20436,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
20441,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20445,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
20449,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
20452,373,FALSE,0,8,C5,C5,7D,5B,C,B6,80,17,
20456,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20459,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
20463,185,FALSE,0,8,8,0,15,0,0,0,27,30,
20466,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20469,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20473,373,FALSE,0,8,C5,C5,7D,5B,C,B6,80,17,
20477,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20481,424,FALSE,0,8,4,8F,4,F,92,DB,0,0,
20485,571,FALSE,0,8,0,0,0,0,0,0,0,0,
20488,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20491,373,FALSE,0,8,C5,C5,7D,61,C,B6,80,17,
20495,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
20499,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20502,373,FALSE,0,8,C5,C5,7D,61,C,B6,80,17,
20506,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20509,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20513,185,FALSE,0,8,8,0,15,0,0,0,27,30,
20516,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20520,6FA,FALSE,0,8,2,35,32,31,0,0,0,0,
20524,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20528,665,FALSE,0,8,2,0,0,0,0,0,0,0,
20531,62D,FALSE,0,8,0,0,0,0,0,0,0,0,
20534,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
20538,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
20542,398,FALSE,0,8,1,26,18,4E,52,20,0,0,
20545,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20548,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
20552,373,FALSE,0,8,C5,C5,7D,66,C,B6,80,17,
20556,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
20560,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
20563,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20568,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20572,373,FALSE,0,8,C5,C5,7D,6A,C,B6,80,17,
20575,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
20579,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20583,188,FALSE,0,8,3,50,A2,4D,0,0,0,0,
20586,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
20589,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20593,286,FALSE,0,8,0,0,0,39,0,0,A,0,
20596,66C,FALSE,0,8,2,AF,93,A,D8,0,0,0,
20599,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20603,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20608,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20611,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20615,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
20619,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20622,373,FALSE,0,8,C5,C5,7D,6E,C,B6,80,17,
20626,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20629,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
20633,373,FALSE,0,8,C5,C5,7D,6E,C,B6,80,17,
20637,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
20640,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20644,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
20648,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
20652,373,FALSE,0,8,C5,C5,7D,73,C,B6,80,17,
20656,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20659,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
20663,185,FALSE,0,8,8,0,15,0,0,0,25,30,
20666,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20669,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20673,373,FALSE,0,8,C5,C5,7D,73,C,B6,80,17,
20677,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
20680,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20684,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20688,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20691,373,FALSE,0,8,C5,C5,7D,76,C,B6,80,17,
20696,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20699,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20703,373,FALSE,0,8,C5,C5,7D,76,C,B6,80,17,
20707,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20710,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20714,185,FALSE,0,8,8,0,15,0,0,0,25,30,
20717,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20721,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20724,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20728,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20731,373,FALSE,0,8,C5,C5,7D,78,C,B6,80,17,
20736,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20739,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20743,398,FALSE,0,8,1,24,17,4E,52,20,0,0,
20747,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20750,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
20753,373,FALSE,0,8,C5,C5,7D,78,C,B6,80,17,
20757,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20761,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20764,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20768,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20772,373,FALSE,0,8,C5,C5,7D,78,C,B6,80,17,
20775,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
20780,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20784,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
20787,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
20790,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20794,286,FALSE,0,8,0,0,0,39,0,0,A,0,
20797,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20800,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20804,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20808,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20811,373,FALSE,0,8,C5,C5,7D,7B,C,B6,80,17,
20815,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
20819,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
20823,373,FALSE,0,8,C5,C5,7D,7B,C,B6,80,17,
20827,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20830,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20834,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
20837,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20841,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20844,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
20848,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20852,373,FALSE,0,8,C5,C5,7D,7D,C,B6,80,17,
20855,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20859,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
20862,373,FALSE,0,8,C5,C5,7D,7D,C,B6,80,17,
20867,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20870,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
20874,373,FALSE,0,8,C5,C5,7D,7D,C,B6,80,17,
20878,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
20881,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20885,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20888,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20892,373,FALSE,0,8,C5,C5,7D,80,C,B6,80,17,
20896,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
20899,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20903,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
20907,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20910,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20914,185,FALSE,0,8,8,0,15,0,0,0,24,30,
20917,298,FALSE,0,8,39,39,41,39,3A,0,0,39,
20921,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20925,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
20928,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20932,373,FALSE,0,8,C5,C5,7D,81,C,B6,80,17,
20936,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20939,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
20942,398,FALSE,0,8,1,24,16,4E,52,20,0,0,
20946,362,FALSE,0,8,2,1,0,0,0,0,0,0,
20950,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
20954,373,FALSE,0,8,C5,C5,7D,81,C,B6,80,17,
20958,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
20961,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
20965,676,FALSE,0,8,0,0,0,0,0,0,0,0,
20968,287,FALSE,0,8,27,10,27,10,27,10,0,0,
20972,373,FALSE,0,8,C5,C5,7D,82,C,B6,80,17,
20976,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
20979,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
20983,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
20986,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
20990,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
20994,286,FALSE,0,8,0,0,0,39,0,0,A,0,
20997,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21001,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21004,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
21008,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21012,373,FALSE,0,8,C5,C5,7D,83,C,B7,80,17,
21015,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
21019,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21023,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21026,667,FALSE,0,8,0,39,34,31,30,41,31,33,
21030,669,FALSE,0,8,0,39,34,31,30,41,31,32,
21033,62D,FALSE,0,8,0,0,0,0,0,0,0,0,
21038,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21041,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21045,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
21048,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21052,373,FALSE,0,8,C5,C5,7D,85,C,B6,80,17,
21056,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21059,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
21063,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21066,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21069,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21073,373,FALSE,0,8,C5,C5,7D,85,C,B6,80,17,
21078,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
21082,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21085,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
21089,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21092,373,FALSE,0,8,C5,C5,7D,86,C,B7,80,17,
21096,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21100,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
21103,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21107,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21110,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21113,185,FALSE,0,8,8,0,15,0,0,0,24,30,
21117,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21121,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21125,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
21129,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21132,373,FALSE,0,8,C5,C5,7D,86,C,B6,80,17,
21136,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21139,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21143,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21146,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21149,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
21153,373,FALSE,0,8,C5,C5,7D,86,C,B6,80,17,
21157,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
21160,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21165,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
21169,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21172,373,FALSE,0,8,C5,C5,7D,84,C,B7,80,17,
21176,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21180,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21183,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21187,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
21190,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21194,286,FALSE,0,8,0,0,0,39,0,0,A,0,
21197,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21200,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21204,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
21209,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21212,373,FALSE,0,8,C5,C5,7D,84,C,B6,80,17,
21216,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
21220,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21223,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21226,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21230,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21233,185,FALSE,0,8,0,0,15,0,0,0,23,30,
21237,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21240,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21244,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
21248,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21252,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21256,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
21259,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
21263,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21266,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21269,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21273,373,FALSE,0,8,C5,C5,7D,8A,C,B7,80,17,
21277,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
21281,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21284,377,FALSE,0,8,5,BB,0,E3,41,3F,3D,22,
21288,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21292,373,FALSE,0,8,C5,C5,7F,37,C,B7,80,17,
21296,289,FALSE,0,8,27,10,4E,20,D,46,11,10,
21300,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21303,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21307,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21310,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21313,185,FALSE,0,8,0,0,15,0,0,0,23,30,
21317,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21320,6FA,FALSE,0,8,1,32,57,48,5A,30,30,32,
21324,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21327,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
21331,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21336,373,FALSE,0,8,C5,C5,7F,4F,C,BA,80,17,
21339,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21343,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21346,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21349,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
21353,373,FALSE,0,8,C5,C5,7F,4F,C,BA,80,17,
21357,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
21361,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21364,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
21368,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21372,373,FALSE,0,8,C5,C5,7F,4F,C,BA,80,17,
21376,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
21380,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21384,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21387,375,FALSE,0,8,8,8,0,27,E4,0,0,0,
21390,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21394,286,FALSE,0,8,0,0,0,39,0,0,A,0,
21397,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21401,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21404,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
21408,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21412,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21415,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
21420,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21423,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21427,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21430,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21434,373,FALSE,0,8,C5,C5,7F,51,C,BA,80,17,
21438,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21441,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21445,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
21449,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
21452,373,FALSE,0,8,C5,C5,7F,52,C,BA,80,17,
21456,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
21460,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
21465,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21468,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21472,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21475,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
21478,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21482,424,FALSE,0,8,4,8F,4,F,92,DB,0,0,
21485,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
21489,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21493,286,FALSE,0,8,0,0,0,39,0,0,A,0,
21496,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21499,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
21504,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21507,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21510,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21514,185,FALSE,0,8,0,0,15,0,0,0,0,30,
21517,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21521,6FA,FALSE,0,8,0,4A,4D,41,58,44,47,47,
21525,377,FALSE,0,8,5,BB,0,D4,41,3F,3D,22,
21528,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
21532,669,FALSE,0,8,1,39,30,30,0,0,0,0,
21536,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21539,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21542,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21547,668,FALSE,0,8,2,4B,4D,E6,61,0,0,0,
21550,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21554,373,FALSE,0,8,C5,C5,7F,52,C,BA,80,17,
21557,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
21561,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
21565,377,FALSE,0,8,5,BB,0,D4,41,3F,3D,22,
21569,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21572,373,FALSE,0,8,C5,C5,7F,53,C,BA,80,17,
21576,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21579,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21583,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21586,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21590,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21594,286,FALSE,0,8,0,0,0,39,0,0,A,0,
21597,732,FALSE,0,8,3,E8,3,E8,64,64,7,C6,
21601,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21604,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21607,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21611,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21615,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
21618,298,FALSE,0,8,39,39,41,39,3A,0,0,39,
21622,6FA,FALSE,0,8,1,32,57,48,5A,30,30,32,
21625,377,FALSE,0,8,5,BB,0,D4,41,3F,3D,22,
21629,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
21634,373,FALSE,0,8,C5,C5,7F,52,C,BA,80,17,
21638,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21641,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
21645,398,FALSE,0,8,1,0,0,4E,52,0,0,0,
21648,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21652,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21655,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
21659,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
21663,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21666,29A,FALSE,0,8,0,4A,4D,41,58,44,47,47,
21670,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
21673,373,FALSE,0,8,C5,C5,7F,52,C,BA,80,17,
21678,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21682,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
21685,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
21689,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21692,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
21695,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
21699,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21703,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21706,362,FALSE,0,8,2,1,0,0,0,0,0,0,
21709,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
21713,185,FALSE,0,8,0,0,15,0,0,0,0,30,
21716,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
21721,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
21724,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
21728,287,FALSE,0,8,27,10,27,10,27,10,0,0,
21731,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
21735,663,FALSE,0,8,1,33,30,30,0,0,0,0,
21739,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
21742,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
21746,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
21750,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
21753,373,FALSE,0,8,C5,C5,7F,53,C,BA,80,17,
21757,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
21762,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
21765,377,FALSE,0,8,5,BB,0,D4,41,3F,3D,22,
21769,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
21773,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
