Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
859,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
863,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
866,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
870,362,FALSE,0,8,2,1,0,0,0,0,0,0,
872,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
876,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
880,362,FALSE,0,8,2,1,0,0,0,0,0,0,
883,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
886,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
890,362,FALSE,0,8,2,1,0,0,0,0,0,0,
893,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
897,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
900,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
904,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
907,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
911,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
914,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
918,287,FALSE,0,8,27,10,27,10,27,10,0,0,
921,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
925,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
928,287,FALSE,0,8,27,10,27,10,27,10,0,0,
932,388,FALSE,0,8,1,0,0,0,0,0,0,2,
935,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
939,287,FALSE,0,8,27,10,27,10,27,10,0,0,
943,676,FALSE,0,8,0,0,0,0,0,0,0,0,
946,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
949,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
953,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
956,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
959,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
963,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
967,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
970,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
973,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
977,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
980,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
985,207,FALSE,0,8,0,0,0,0,0,0,C,0,
988,287,FALSE,0,8,27,10,27,10,27,10,0,0,
991,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
994,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
998,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1001,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1005,630,FALSE,0,8,0,0,0,0,0,0,0,0,
1008,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1011,568,FALSE,0,8,0,2,80,A,0,0,A8,AA,
1015,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
1018,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1022,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
1026,666,FALSE,0,8,2,3E,3A,B5,A7,0,0,0,
1030,6FA,FALSE,0,8,2,35,32,31,0,0,0,0,
1033,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1037,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
1040,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1044,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
1047,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1051,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
1054,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
1058,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1062,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1065,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
1069,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
