Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1725172529363680,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529363446,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529363210,000005A3,false,Rx,0,8,0F,00,00,00,C9,7D,2A,62,
-1725172529362971,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529362733,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,25,58,
-1725172529362493,000005D7,false,Rx,0,8,02,A4,00,00,00,00,00,00,
-1725172529362250,000005D8,false,Rx,0,8,A1,6E,04,00,00,00,35,0E,
-1725172529357520,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529357278,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529357025,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529347516,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529347272,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529347017,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529337525,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529337281,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529337026,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529327519,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529327278,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529327026,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529317518,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529317274,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529317019,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529307512,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529307284,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529307015,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529297521,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529297278,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529297025,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529287523,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529287283,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529287030,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529277519,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529277278,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529277025,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529268073,00000594,false,Rx,0,8,6E,41,6E,41,A2,6A,04,20,
-1725172529267834,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529267596,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529267336,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529267112,000004DE,false,Rx,0,8,00,F1,0A,00,F1,D5,1D,00,
-1725172529266874,000004E2,false,Rx,0,8,00,00,00,00,00,00,D0,9D,
-1725172529266620,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529266381,00000553,false,Rx,0,8,04,00,80,00,00,00,80,00,
-1725172529266138,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529265900,0000057F,false,Rx,0,8,80,0A,72,00,00,00,00,72,
-1725172529265660,00000596,false,Rx,0,8,22,76,00,00,00,00,0A,0C,
-1725172529265407,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529265166,00000597,false,Rx,0,8,09,00,00,00,00,00,00,80,
-1725172529264928,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529264674,00000598,false,Rx,0,8,00,00,00,00,91,41,F1,12,
-1725172529264451,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529264198,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529263944,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529263706,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529263451,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529263229,000005A3,false,Rx,0,8,0F,00,00,00,C9,7D,2A,62,
-1725172529262989,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529262751,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,9D,A7,
-1725172529262512,000005D7,false,Rx,0,8,02,A4,00,00,00,00,00,00,
-1725172529262269,000005D8,false,Rx,0,8,A1,6E,04,00,00,00,35,0E,
-1725172529257523,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529257280,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529257025,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529247531,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529247290,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529247036,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529237534,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529237294,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529237027,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529227533,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
