Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1688467641403848,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641393859,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641383843,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641373829,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641363818,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641354770,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641349781,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641344763,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641339754,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641333809,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641322778,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641313799,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641303745,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641293756,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641283739,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641273726,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641263710,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641254720,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641249724,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641244714,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641239704,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641233708,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641222699,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641213692,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641203667,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641193649,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641183638,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641173624,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641163611,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641154673,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641149677,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641144662,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641139654,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641133603,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641122595,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641113594,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641103563,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641093551,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641084539,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641073521,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641064532,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641054622,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641049628,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641044602,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641039592,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641034526,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641024509,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641014514,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641004462,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640994471,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640984457,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640974440,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640964410,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640954574,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640949580,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640944566,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640939556,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640934424,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640924387,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640914409,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640904383,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640894368,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640884334,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640874340,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640864327,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640854525,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640849529,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640844517,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640839507,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640834319,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640824303,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640814306,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640804260,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640794266,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640784251,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640774237,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640764205,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640754473,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640749480,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640744466,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640739446,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
