Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8126449,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8126682,0000008C,false,Rx,0,8,46,03,01,51,3A,83,8C,12,
8126928,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8127173,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8127418,00000096,false,Rx,0,8,01,1F,01,A0,00,00,00,00,
8127663,00000098,false,Rx,0,8,06,43,00,00,07,E8,03,E8,
8127904,00000013,false,Rx,0,8,90,FA,00,00,00,00,00,00,
8128150,00000036,false,Rx,0,8,2A,37,00,00,00,00,00,00,
8128390,00000050,false,Rx,0,8,80,05,09,80,00,80,B4,50,
8128629,00000084,false,Rx,0,8,51,5E,79,00,00,00,00,00,
8128875,000000AA,false,Rx,0,8,A2,06,00,FA,3F,FE,3F,FF,
8129108,000000C8,false,Rx,0,8,12,03,00,00,00,00,7F,FA,
8129341,000000CA,false,Rx,0,8,0C,01,A1,0D,A1,80,00,23,
8129586,00000044,false,Rx,0,8,09,3E,01,4D,FF,45,00,00,
8129874,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8130084,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8130324,000000A2,false,Rx,0,8,BD,0F,00,00,00,00,24,09,
8130569,000000DB,false,Rx,0,8,00,58,00,00,01,A6,00,00,
8130875,000000EA,false,Rx,0,8,2C,53,00,00,00,00,00,00,
8131045,000000EC,false,Rx,0,8,00,00,01,56,01,E7,90,91,
8131288,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8131533,000000F7,false,Rx,0,8,01,A6,00,00,00,00,00,00,
8131778,0000019A,false,Rx,0,8,A0,05,01,A1,00,01,00,00,
8132011,00000143,false,Rx,0,8,E9,0F,01,A1,43,40,01,A6,
8132254,000002DD,false,Rx,0,8,A6,05,FF,40,0F,FC,00,00,
8132674,00000041,false,Rx,0,8,0A,09,01,4C,00,00,00,00,
