Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10637476,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10665347,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
10715140,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
10737455,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10765184,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
10815346,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
10837449,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10866238,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
10919367,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
10948784,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10971367,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
11021424,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
11048790,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11071296,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
11121319,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
11148802,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11171459,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
11221361,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
11248777,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11272389,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
11323434,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
11348786,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11374143,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
11423498,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
11448794,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11476665,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
11526458,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
11548773,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11576502,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
11626664,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
11648767,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11677556,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
11730685,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
11760102,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11782685,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
11832742,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
11860108,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11882614,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
11932637,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
11960120,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
11982777,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
12032679,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
12060095,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
12083707,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
12134752,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
12160104,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
12185461,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
12234816,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
