;$FILEVERSION=1.1
;$STARTTIME=43602.8098728588
;
;   F:\pcanview\pexic_start.trc
;
;   Start time: 17/05/2019 19:26:13.015.0
;   Generated by PCAN-View v4.2.2.555
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   163)      6078.5  Rx         0302  8  01 00 00 00 09 54 00 00 
   164)      6078.7  Rx         0304  8  00 00 04 00 00 00 00 00 
   165)      6078.9  Rx         0305  8  00 00 0F 40 00 00 00 00 
   166)      6079.2  Rx         0303  8  0F 59 00 00 00 00 00 00 
   167)      6082.2  Rx         0210  7  FF FF 30 68 90 00 2E 
   168)      6082.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   169)      6096.2  Rx         0210  7  FF FF 30 68 90 00 2F 
   170)      6096.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   171)      6110.3  Rx         0210  7  FF FF 30 68 90 00 30 
   172)      6110.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   173)      6115.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   174)      6117.7  Rx         0250  8  28 00 40 00 00 00 00 00 
   175)      6118.0  Rx         0251  8  00 00 00 00 00 00 00 00 
   176)      6118.2  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   177)      6118.8  Rx         0441  8  00 00 00 00 00 00 00 00 
   178)      6119.1  Rx         0442  8  00 00 00 00 00 00 00 00 
   179)      6119.5  Rx         0443  8  00 00 00 00 00 00 00 00 
   180)      6119.8  Rx         0444  8  00 00 00 00 00 00 00 00 
   181)      6124.3  Rx         0210  7  FF FF 30 68 90 00 31 
   182)      6124.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   183)      6127.7  Rx         0265  8  00 00 00 00 00 36 00 00 
   184)      6137.6  Rx         0310  3  02 00 00 
   185)      6138.3  Rx         0210  7  FF FF 30 68 90 00 32 
   186)      6138.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   187)      6152.3  Rx         0210  7  FF FF 30 68 90 00 33 
   188)      6152.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   189)      6153.2  Rx         0610  8  00 00 00 00 00 00 02 54 
   190)      6153.5  Rx         0611  8  00 00 00 00 ED ED ED FE 
   191)      6157.7  Rx         0359  8  02 00 00 85 00 00 00 00 
   192)      6166.3  Rx         0210  7  FF FF 30 68 90 00 34 
   193)      6166.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   194)      6169.4  Rx         0409  8  00 00 80 00 80 00 00 00 
   195)      6180.3  Rx         0210  7  FF FF 30 68 90 00 35 
   196)      6180.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   197)      6194.3  Rx         0210  7  FF FF 30 68 90 00 36 
   198)      6194.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   199)      6208.3  Rx         0210  7  FF FF 30 68 90 00 37 
   200)      6208.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   201)      6215.1  Rx         0023  1  40 
   202)      6215.3  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   203)      6217.8  Rx         0251  8  04 00 00 00 00 00 00 00 
   204)      6218.2  Rx         0250  8  28 00 40 00 00 00 00 00 
   205)      6218.6  Rx         03A0  8  00 00 03 B4 00 00 00 00 
   206)      6218.9  Rx         03A1  8  80 00 08 0E 24 00 EB 00 
   207)      6222.3  Rx         0210  7  FF FF 30 68 90 00 38 
   208)      6222.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   209)      6227.8  Rx         0264  8  00 00 59 00 01 01 00 00 
   210)      6236.4  Rx         0210  7  FF FF 30 68 90 00 39 
   211)      6236.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   212)      6237.8  Rx         0265  8  FC 07 00 00 00 36 00 00 
   213)      6247.7  Rx         0311  2  00 00 
   214)      6250.4  Rx         0210  7  FF FF 30 68 90 00 3A 
   215)      6250.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   216)      6264.3  Rx         0210  7  FF FF 30 68 90 00 3B 
   217)      6264.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   218)      6278.4  Rx         0210  7  FF FF 30 68 90 00 3C 
   219)      6278.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   220)      6279.1  Rx         0301  8  00 00 00 03 00 34 00 FA 
   221)      6279.3  Rx         0302  8  00 00 00 00 09 54 00 00 
   222)      6279.5  Rx         0304  8  00 00 00 00 00 FA 00 FA 
   223)      6279.8  Rx         0305  8  00 00 01 40 00 00 00 00 
   224)      6280.0  Rx         0303  8  0F 59 00 00 00 00 00 00 
   225)      6292.4  Rx         0210  7  FF FF 30 68 90 00 3D 
   226)      6292.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   227)      6306.4  Rx         0210  7  FF FF 30 68 90 00 3E 
   228)      6306.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   229)      6314.9  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   230)      6317.8  Rx         0251  8  20 00 00 00 E5 4D 7E A6 
   231)      6318.4  Rx         0250  8  28 00 40 00 00 00 00 00 
   232)      6318.7  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   233)      6319.1  Rx         0441  8  00 00 00 00 00 00 00 00 
   234)      6319.4  Rx         0442  8  00 00 00 00 00 00 00 00 
   235)      6319.8  Rx         0443  8  00 00 00 00 00 00 00 00 
   236)      6320.1  Rx         0444  8  00 00 00 00 00 00 00 00 
   237)      6320.4  Rx         0210  7  FF FF 30 68 90 00 3F 
   238)      6320.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   239)      6327.8  Rx         0263  6  00 00 00 76 01 00 
   240)      6334.4  Rx         0210  7  FF FF 30 68 90 00 40 
   241)      6334.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   242)      6337.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   243)      6347.8  Rx         0310  3  02 00 00 
   244)      6348.4  Rx         0210  7  FF FF 30 68 90 00 41 
   245)      6348.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   246)      6354.1  Rx         0610  8  00 00 00 00 19 19 00 00 
   247)      6354.3  Rx         0611  8  06 10 00 00 ED ED ED FE 
   248)      6362.4  Rx         0210  7  FF FF 30 68 90 00 42 
   249)      6362.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
   250)      6367.8  Rx         0359  8  02 00 00 85 00 00 00 00 
   251)      6376.4  Rx         0210  7  FF FF 30 68 90 00 43 
   252)      6376.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   253)      6390.4  Rx         0210  7  FF FF 30 68 90 00 44 
   254)      6390.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   255)      6404.5  Rx         0210  7  FF FF 30 68 90 00 45 
   256)      6404.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   257)      6414.6  Rx         0023  1  40 
   258)      6414.9  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   259)      6417.8  Rx         0251  8  20 00 00 00 E5 4D 7E A6 
   260)      6418.5  Rx         0210  7  FF FF 30 68 90 00 46 
   261)      6418.7  Rx         0250  8  2A 00 40 00 67 9A 15 EA 
   262)      6418.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   263)      6427.9  Rx         0264  8  00 00 59 00 01 01 00 00 
   264)      6432.5  Rx         0210  7  FF FF 30 68 90 00 47 
   265)      6432.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   266)      6437.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   267)      6439.1  Rx         0408  8  0E 02 81 10 00 18 76 0B 
   268)      6440.0  Rx         040B  8  00 00 05 00 00 90 60 00 
   269)      6446.4  Rx         0210  7  FF FF 30 68 90 00 48 
   270)      6446.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   271)      6447.8  Rx         0311  2  00 00 
   272)      6460.5  Rx         0210  7  FF FF 30 68 90 00 49 
   273)      6460.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   274)      6474.5  Rx         0210  7  FF FF 30 68 90 00 4A 
   275)      6474.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   276)      6479.0  Rx         0301  8  00 00 06 FE 00 34 00 FA 
   277)      6479.3  Rx         0302  8  00 00 00 00 09 54 00 00 
   278)      6479.6  Rx         0304  8  00 00 00 00 00 FA 00 FA 
   279)      6479.8  Rx         0305  8  00 00 01 40 00 00 00 00 
   280)      6480.1  Rx         0303  8  0F 59 00 00 00 00 00 00 
   281)      6488.5  Rx         0210  7  FF FF 30 68 90 00 4B 
   282)      6488.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   283)      6502.5  Rx         0210  7  FF FF 30 68 90 00 4C 
   284)      6502.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   285)      6514.5  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   286)      6516.5  Rx         0210  7  FF FF 30 68 90 00 4D 
   287)      6516.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   288)      6517.9  Rx         0251  8  40 00 00 00 00 00 00 00 
   289)      6518.6  Rx         0250  8  2A 00 40 00 67 9A 15 EA 
   290)      6518.9  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   291)      6519.3  Rx         0441  8  00 00 00 00 00 00 00 00 
   292)      6519.6  Rx         0442  8  00 00 00 00 00 00 00 00 
   293)      6519.9  Rx         0443  8  00 00 00 00 00 00 00 00 
   294)      6520.3  Rx         0444  8  00 00 00 00 00 00 00 00 
   295)      6527.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   296)      6530.5  Rx         0210  7  FF FF 30 68 90 00 4E 
   297)      6530.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   298)      6537.8  Rx         0310  3  02 00 00 
   299)      6544.5  Rx         0210  7  FF FF 30 68 90 00 4F 
   300)      6544.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   301)      6554.0  Rx         0610  8  00 00 00 00 19 19 00 00 
   302)      6554.3  Rx         0611  8  06 26 00 00 ED ED ED FE 
   303)      6557.9  Rx         0359  8  02 00 00 85 00 00 00 00 
   304)      6558.5  Rx         0210  7  FF FF 30 68 90 00 50 
   305)      6558.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   306)      6572.5  Rx         0210  7  FF FF 30 68 90 00 51 
   307)      6572.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   308)      6586.6  Rx         0210  7  FF FF 30 68 90 00 52 
   309)      6586.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   310)      6600.6  Rx         0210  7  FF FF 30 68 90 00 53 
   311)      6600.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   312)      6614.2  Rx         0023  1  40 
   313)      6614.5  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   314)      6614.7  Rx         0210  7  FF FF 30 68 90 00 54 
   315)      6615.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   316)      6618.0  Rx         0251  8  40 00 00 00 00 00 00 00 
   317)      6618.7  Rx         0250  8  08 00 40 00 00 00 00 00 
   318)      6627.9  Rx         0264  8  00 00 59 00 01 01 00 00 
   319)      6628.6  Rx         0210  7  FF FF 30 68 90 00 55 
   320)      6628.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   321)      6637.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   322)      6642.6  Rx         0210  7  FF FF 30 68 90 00 56 
   323)      6642.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   324)      6647.9  Rx         0311  2  00 00 
   325)      6656.6  Rx         0210  7  FF FF 30 68 90 00 57 
   326)      6656.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   327)      6668.8  Rx         0409  8  18 00 80 00 80 00 00 00 
   328)      6670.5  Rx         0210  7  FF FF 30 68 90 00 58 
   329)      6670.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   330)      6679.0  Rx         0301  8  00 00 0E E3 00 34 00 FA 
   331)      6679.3  Rx         0302  8  00 00 00 00 0E E3 00 00 
   332)      6679.4  Rx         0304  8  00 00 00 00 00 FA 00 FA 
   333)      6679.7  Rx         0305  8  00 00 01 40 00 00 00 00 
   334)      6680.0  Rx         0303  8  0F 59 00 00 00 00 00 00 
   335)      6684.5  Rx         0210  7  FF FF 30 68 90 00 59 
   336)      6684.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   337)      6698.5  Rx         0210  7  FF FF 30 68 90 00 5A 
   338)      6698.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   339)      6712.5  Rx         0210  7  FF FF 30 68 90 00 5B 
   340)      6712.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   341)      6714.1  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   342)      6717.9  Rx         0251  8  40 00 00 00 00 00 00 00 
   343)      6718.8  Rx         0250  8  08 00 40 00 00 00 00 00 
   344)      6719.1  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   345)      6719.5  Rx         0441  8  00 00 00 00 00 00 00 00 
   346)      6719.8  Rx         0442  8  00 00 00 00 00 00 00 00 
   347)      6720.1  Rx         0443  8  00 00 00 00 00 00 00 00 
   348)      6720.5  Rx         0444  8  00 00 00 00 00 00 00 00 
   349)      6720.8  Rx         03A0  8  00 00 03 B4 00 00 00 00 
   350)      6721.2  Rx         03A1  8  80 10 08 00 00 00 EB 00 
   351)      6726.5  Rx         0210  7  FF FF 30 68 90 00 5C 
   352)      6726.7  Rx         04B0  8  27 10 27 10 27 10 27 10 
   353)      6727.9  Rx         0265  8  FC 00 00 00 00 36 00 00 
   354)      6737.8  Rx         0310  3  02 00 00 
   355)      6740.5  Rx         0210  7  FF FF 30 68 90 00 5D 
   356)      6740.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   357)      6753.9  Rx         0610  8  06 7C 00 00 19 19 00 00 
   358)      6754.2  Rx         0300  8  02 00 25 00 00 00 01 00 
   359)      6754.4  Rx         0306  8  00 00 00 00 00 00 00 00 
   360)      6754.6  Rx         0210  7  FF FF 30 68 90 00 5E 
   361)      6754.9  Rx         04B0  8  27 10 27 10 27 10 27 10 
   362)      6755.1  Rx         0611  8  06 37 06 7C ED ED ED FE 
   363)      6755.4  Rx         0722  8  00 00 00 00 00 00 00 00 
   364)      6755.6  Rx         0723  8  00 00 00 00 00 00 00 00 
   365)      6755.9  Rx         0721  8  00 00 00 00 00 00 00 00 
   366)      6757.8  Rx         0359  8  02 00 00 85 00 00 00 00 
   367)      6768.6  Rx         0210  7  FF FF 30 68 90 00 5F 
   368)      6768.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   369)      6782.6  Rx         0210  7  FF FF 30 68 90 00 60 
   370)      6782.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   371)      6796.5  Rx         0210  7  FF FF 30 68 90 00 61 
   372)      6796.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   373)      6810.6  Rx         0210  7  FF FF 30 68 90 00 62 
   374)      6810.8  Rx         04B0  8  27 10 27 10 27 10 27 10 
   375)      6813.7  Rx         0023  1  40 
